account_id,trans_id,date_trans,amount,running_total
96,29107,2/18/1993,1100,1100
96,29110,3/11/1993,44221,45321
96,29727,3/20/1993,11500,56821
96,3533622,3/31/1993,54.6,56875.6
96,29111,4/11/1993,44221,101096.6
96,29728,4/19/1993,24700,125796.6
96,3533623,4/30/1993,173.5,125970.1
96,29112,5/11/1993,44221,170191.1
96,29729,5/19/1993,35100,205291.1
96,3533624,5/31/1993,238.7,205529.8
96,29113,6/11/1993,66332,271861.8
96,29730,6/11/1993,62900,334761.8
96,29731,6/18/1993,19200,353961.8
96,3533625,6/30/1993,236.7,354198.5
96,29114,7/11/1993,44221,398419.5
96,29330,7/11/1993,2140,400559.5
96,29474,7/11/1993,644,401203.5
96,29258,7/14/1993,908,402111.5
96,29732,7/18/1993,31200,433311.5
96,29628,7/19/1993,4500,437811.5
96,29541,7/22/1993,8769,446580.5
96,29662,7/31/1993,14.6,446595.1
96,3533626,7/31/1993,234.7,446829.8
96,29403,8/8/1993,46,446875.8
96,29115,8/11/1993,44221,491096.8
96,29331,8/11/1993,2140,493236.8
96,29475,8/11/1993,644,493880.8
96,29259,8/14/1993,908,494788.8
96,29733,8/17/1993,29300,524088.8
96,29629,8/24/1993,7200,531288.8
96,29540,8/28/1993,23255,554543.8
96,29663,8/31/1993,14.6,554558.4
96,3533627,8/31/1993,218.4,554776.8
96,29404,9/8/1993,46,554822.8
96,29116,9/11/1993,44221,599043.8
96,29332,9/11/1993,2140,601183.8
96,29476,9/11/1993,644,601827.8
96,29260,9/14/1993,908,602735.8
96,29734,9/16/1993,17700,620435.8
96,29664,9/30/1993,14.6,620450.4
96,3533628,9/30/1993,179.6,620630
96,29405,10/8/1993,46,620676
96,29117,10/11/1993,44221,664897
96,29333,10/11/1993,2140,667037
96,29477,10/11/1993,644,667681
96,29261,10/14/1993,908,668589
96,29735,10/16/1993,29200,697789
96,29631,10/19/1993,4500,702289
96,29625,10/24/1993,2100,704389
96,29665,10/31/1993,14.6,704403.6
96,3533629,10/31/1993,241,704644.6
96,29406,11/8/1993,46,704690.6
96,29118,11/11/1993,44221,748911.6
96,29334,11/11/1993,2140,751051.6
96,29478,11/11/1993,644,751695.6
96,29626,11/11/1993,4200,755895.6
96,29262,11/14/1993,908,756803.6
96,29736,11/15/1993,31500,788303.6
96,29630,11/17/1993,9000,797303.6
96,29666,11/30/1993,14.6,797318.2
96,3533630,11/30/1993,232.2,797550.4
96,29407,12/8/1993,46,797596.4
96,29583,12/9/1993,5100,802696.4
96,29119,12/11/1993,66332,869028.4
96,29335,12/11/1993,2140,871168.4
96,29479,12/11/1993,644,871812.4
96,29737,12/11/1993,40500,912312.4
96,29263,12/14/1993,908,913220.4
96,29738,12/15/1993,19700,932920.4
96,29667,12/31/1993,14.6,932935
96,3533631,12/31/1993,220.1,933155.1
96,29597,1/1/1994,7200,940355.1
96,29544,1/6/1994,4621,944976.1
96,29408,1/8/1994,46,945022.1
96,29120,1/11/1994,44221,989243.1
96,29336,1/11/1994,2140,991383.1
96,29480,1/11/1994,644,992027.1
96,29264,1/14/1994,908,992935.1
96,29739,1/14/1994,26500,1019435.1
96,29543,1/15/1994,2690,1022125.1
96,29600,1/16/1994,4200,1026325.1
96,29596,1/21/1994,7500,1033825.1
96,29599,1/21/1994,1800,1035625.1
96,29595,1/24/1994,6300,1041925.1
96,29633,1/27/1994,3300,1045225.1
96,29668,1/31/1994,14.6,1045239.7
96,3533632,1/31/1994,163.5,1045403.2
96,29409,2/8/1994,46,1045449.2
96,29121,2/11/1994,44221,1089670.2
96,29337,2/11/1994,2140,1091810.2
96,29481,2/11/1994,644,1092454.2
96,29740,2/13/1994,21000,1113454.2
96,29265,2/14/1994,908,1114362.2
96,29635,2/18/1994,2700,1117062.2
96,29669,2/28/1994,14.6,1117076.8
96,3533633,2/28/1994,148.7,1117225.5
96,29410,3/8/1994,46,1117271.5
96,29122,3/11/1994,44221,1161492.5
96,29338,3/11/1994,2140,1163632.5
96,29482,3/11/1994,644,1164276.5
96,29266,3/14/1994,908,1165184.5
96,29741,3/15/1994,29000,1194184.5
96,29670,3/31/1994,14.6,1194199.1
96,3533634,3/31/1994,213.4,1194412.5
96,29411,4/8/1994,46,1194458.5
96,29123,4/11/1994,44221,1238679.5
96,29339,4/11/1994,2140,1240819.5
96,29483,4/11/1994,644,1241463.5
96,29267,4/14/1994,908,1242371.5
96,29742,4/14/1994,34300,1276671.5
96,29671,4/30/1994,14.6,1276686.1
96,3533635,4/30/1994,247.3,1276933.4
96,29412,5/8/1994,46,1276979.4
96,29124,5/11/1994,44221,1321200.4
96,29340,5/11/1994,2140,1323340.4
96,29484,5/11/1994,644,1323984.4
96,29268,5/14/1994,908,1324892.4
96,29743,5/14/1994,36600,1361492.4
96,29672,5/31/1994,14.6,1361507
96,3533636,5/31/1994,265.3,1361772.3
96,29636,6/3/1994,3000,1364772.3
96,29413,6/8/1994,46,1364818.3
96,29125,6/11/1994,66332,1431150.3
96,29341,6/11/1994,2140,1433290.3
96,29485,6/11/1994,644,1433934.3
96,29744,6/11/1994,30100,1464034.3
96,29745,6/13/1994,34800,1498834.3
96,29269,6/14/1994,908,1499742.3
96,29673,6/30/1994,14.6,1499756.9
96,3533637,6/30/1994,259.4,1500016.3
96,29414,7/8/1994,46,1500062.3
96,29126,7/11/1994,44221,1544283.3
96,29342,7/11/1994,2140,1546423.3
96,29486,7/11/1994,644,1547067.3
96,29746,7/13/1994,37600,1584667.3
96,29270,7/14/1994,908,1585575.3
96,29674,7/31/1994,14.6,1585589.9
96,3533638,7/31/1994,254.6,1585844.5
96,29415,8/8/1994,46,1585890.5
96,29127,8/11/1994,44221,1630111.5
96,29343,8/11/1994,2140,1632251.5
96,29487,8/11/1994,644,1632895.5
96,29747,8/12/1994,37200,1670095.5
96,29271,8/14/1994,908,1671003.5
96,29675,8/31/1994,14.6,1671018.1
96,3533639,8/31/1994,263.1,1671281.2
96,29416,9/8/1994,46,1671327.2
96,29128,9/11/1994,44221,1715548.2
96,29344,9/11/1994,2140,1717688.2
96,29488,9/11/1994,644,1718332.2
96,29748,9/11/1994,38200,1756532.2
96,29272,9/14/1994,908,1757440.2
96,29545,9/18/1994,16729,1774169.2
96,29676,9/30/1994,14.6,1774183.8
96,3533640,9/30/1994,256.4,1774440.2
96,29417,10/8/1994,46,1774486.2
96,29129,10/11/1994,44221,1818707.2
96,29345,10/11/1994,2140,1820847.2
96,29489,10/11/1994,644,1821491.2
96,29749,10/11/1994,32100,1853591.2
96,29273,10/14/1994,908,1854499.2
96,29634,10/25/1994,12000,1866499.2
96,29677,10/31/1994,14.6,1866513.8
96,3533641,10/31/1994,230.4,1866744.2
96,29418,11/8/1994,46,1866790.2
96,29750,11/10/1994,7400,1874190.2
96,29130,11/11/1994,44221,1918411.2
96,29346,11/11/1994,2140,1920551.2
96,29490,11/11/1994,644,1921195.2
96,29274,11/14/1994,908,1922103.2
96,29678,11/30/1994,14.6,1922117.8
96,3533642,11/30/1994,281.8,1922399.6
96,29419,12/8/1994,46,1922445.6
96,29751,12/10/1994,23900,1946345.6
96,29131,12/11/1994,66332,2012677.6
96,29347,12/11/1994,2140,2014817.6
